# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
bai hua 	白話	c=2 d=6.64964e-83 t=1393466
bai jia 	百家	c=1 d=8.50557e-126 t=1393466
bai jia hei 	白加黑	c=3 d=0.0636543 t=1393466
bai jian 	擺件	c=1 d=0 t=1393466
bai jin 	白金	c=1 d=2.47144e-228 t=1393466
bai jin ka 	白金卡	c=5 d=3.38009e-181 t=1393466
bai jiu 	白酒	c=4 d=1.79655e-304 t=1393466
bai kai shui 	白開水	c=2 d=5.38774e-166 t=1393466
bai ke 	百科	c=23 d=3.33846e-06 t=1393466
bai ke quan shu 	百科全書	c=4 d=1.54471e-145 t=1393466
bai ke shang 	百科上	c=1 d=0 t=1393466
bai lai 	白來	c=1 d=0 t=1393466
bai le 	掰了	c=1 d=1.21536e-118 t=1393466
bai le 	擺了	c=1 d=0 t=1393466
bai lu 	白鷺	c=2 d=0 t=1393466
bai mai 	白買	c=1 d=1.13466e-45 t=1393466
bai mang 	百忙	c=1 d=3.91525e-263 t=1393466
bai mao 	白毛	c=1 d=8.50874e-101 t=1393466
bai mao 	白貓	c=1 d=0 t=1393466
bai min diao 	白民調	c=1 d=5.36948e-273 t=1393466
bai ming 	百名	c=0 d=8.18565e-29 t=1393466
bai ming dan 	白名單	c=76 d=0.165299 t=1393466
bai ming dan 	百名但	c=8 d=0.164474 t=1393466
bai ming dan na 	百名但哪	c=1 d=9.84912e-28 t=1393466
bai na ben 	百衲本	c=1 d=2.47213e-236 t=1393466
bai nei zhang 	白內障	c=1 d=0 t=1393466
bai nian 	拜年	c=6 d=0 t=1393466
bai nian 	百年	c=3 d=2.29578e-277 t=1393466
bai pai 	擺拍	c=1 d=5.01186e-80 t=1393466
bai pan 	擺盤	c=1 d=0 t=1393466
bai pi shu 	白皮書	c=21 d=6.45923e-06 t=1393466
bai qiu en 	白求恩	c=1 d=1.85113e-215 t=1393466
bai ren 	白人	c=2 d=7.04058e-07 t=1393466
bai se 	白色	c=26 d=0.00141649 t=1393466
bai se kuai 	白色塊	c=1 d=1.4794e-78 t=1393466
bai sha tang 	白砂糖	c=2 d=5.39215e-205 t=1393466
bai shan 	白山	c=1 d=1 t=1352238
bai shang qu 	擺上去	c=1 d=0.869358 t=1393466
bai sheng 	百盛	c=1 d=6.35292e-46 t=1393466
bai shou qi jia 	白手起家	c=1 d=0 t=1393466
bai song 	白送	c=4 d=1.65599e-228 t=1393466
bai tan 	擺攤	c=3 d=1.55155e-50 t=1393466
bai tang 	白糖	c=1 d=0 t=1393466
bai tian 	白天	c=40 d=0.0144087 t=1393466
bai tian qu 	白天去	c=1 d=3.3842e-19 t=1393466
bai tiao 	白條	c=6 d=1.57795e-123 t=1393466
bai tiao hua bei 	白條花唄	c=1 d=5.72911e-271 t=1393466
bai tu 	白兔	c=0 d=0 t=1393466
bai tuo 	拜託	c=6 d=7.94e-140 t=1393466
bai tuo 	擺脫	c=5 d=3.30444e-184 t=1393466
bai tuo ni 	拜託你	c=1 d=1.12752e-294 t=1393466
bai wan 	百萬	c=7 d=2.4079e-18 t=1393466
bai xing 	百姓	c=2 d=0 t=1393466
bai xing shen bian 	百姓身邊	c=1 d=0 t=1393466
bai xing wang 	百姓網	c=1 d=0 t=1393466
bai xue bing 	白血病	c=4 d=6.91084e-87 t=1393466
bai xue bing me 	白血病麼	c=1 d=2.11679e-87 t=1393466
bai xue gong zhu 	白雪公主	c=1 d=1.67144e-249 t=1393466
bai yao 	白藥	c=6 d=0 t=1393466
bai ye 	白夜	c=2 d=0 t=1393466
bai ye xing 	白夜行	c=22 d=7.92907e-127 t=1393466
bai ye xing ba 	白夜行吧	c=1 d=0 t=1393466
bai yi 	百億	c=1 d=3.37492e-163 t=1393466
bai yin 	白銀	c=3 d=1.57743e-215 t=1393466
bai yuan da chao 	百元大鈔	c=1 d=6.04019e-11 t=1393466
bai yun 	白雲	c=1 d=7.53686e-174 t=1393466
bai zai 	擺在	c=6 d=1.08964e-10 t=1393466
bai zhan ting 	拜占庭	c=2 d=9.96716e-168 t=1393466
bai zhao 	百兆	c=8 d=2.41312e-233 t=1393466
bai zhe 	擺着	c=2 d=8.99195e-45 t=1393466
bai zhi 	白紙	c=1 d=0 t=1393466
bai zhong 	百種	c=0 d=0 t=1393466
bai zhong ren 	白種人	c=1 d=9.2225e-225 t=1393466
bai zhu 	白豬	c=1 d=2.12777e-89 t=1393466
bai zi 	白字	c=1 d=0 t=1393466
ban 	半	c=67 d=0.0424237 t=1393466
ban 	拌	c=2 d=4.75016e-243 t=1393466
ban 	搬	c=56 d=8.23852e-07 t=1393466
ban 	板	c=2 d=7.7024e-18 t=1393466
ban 	版	c=201 d=0.000322309 t=1393466
ban 	班	c=18 d=7.2664e-06 t=1393466
ban 	般	c=1 d=5.04143e-61 t=1393466
ban 	辦	c=68 d=0.66034 t=1393466
ban ban 	斑斑	c=1 d=1.46334e-127 t=1393466
ban bei 	半杯	c=2 d=9.28691e-13 t=1393466
ban ben 	版本	c=2291 d=1.24054 t=1393466
ban ben bi jiao jiu 	版本比較舊	c=2 d=1.71506e-19 t=1393466
ban ben bu gou xin 	版本不夠新	c=1 d=2.89713e-220 t=1393466
ban ben cha yi 	版本差異	c=1 d=1 t=1326835
ban ben de 	版本的	c=7 d=0.609571 t=1393466
ban ben de ne 	版本的呢	c=1 d=0 t=1393466
ban ben duo shao 	版本多少	c=1 d=1.20718e-303 t=1393466
ban ben er 	扳本兒	c=11 d=3.30637e-10 t=1393466
ban ben geng xin 	版本更新	c=1 d=0 t=1393466
ban ben hao 	版本號	c=47 d=0.585669 t=1393466
ban ben hao shu chu 	版本號輸出	c=1 d=1 t=1393466
ban ben hao xie 	版本號寫	c=1 d=2.87261e-267 t=1393466
ban ben jian 	版本間	c=1 d=2.53203e-106 t=1393466
ban ben kong zhi 	版本控制	c=4 d=4.30493e-136 t=1393466
ban ben li 	版本裏	c=2 d=4.52138e-133 t=1393466
ban ben ne 	版本呢	c=4 d=1.9619e-46 t=1393466
ban ben ni 	版本你	c=1 d=1.94034e-63 t=1393466
ban ben shen me 	版本什麼	c=1 d=1 t=1391915
ban ben shi 	版本時	c=4 d=0 t=1393466
ban ben tai jiu 	版本太舊	c=1 d=0 t=1393466
ban ben xia 	版本下	c=1 d=0 t=1393466
ban ben xin xi 	版本信息	c=1 d=3.68333e-133 t=1393466
ban ben yao qiu 	版本要求	c=1 d=4.40614e-94 t=1393466
ban ben ye shi 	版本也是	c=1 d=1.18773e-24 t=1393466
ban ben zhong 	版本中	c=2 d=1.07873e-68 t=1393466
ban bian 	半邊	c=2 d=0 t=1393466
ban bian lian 	半邊臉	c=1 d=0 t=1393466
ban bu cheng 	辦不成	c=1 d=7.03302e-66 t=1393466
ban bu fen 	半部分	c=1 d=0 t=1393466
ban cai 	拌菜	c=17 d=3.03013e-13 t=1393466
ban che 	班車	c=1 d=0 t=1393466
ban cheng 	半程	c=1 d=0 t=1393466
ban cheng pin 	半成品	c=7 d=4.82351e-92 t=1393466
ban chu 	搬出	c=1 d=0 t=1393466
ban chu lai 	搬出來	c=3 d=5.75428e-205 t=1393466
ban dai 	半袋	c=0 d=7.23448e-252 t=1393466
ban dao 	搬到	c=99 d=0.882497 t=1393466
ban dao 	絆倒	c=1 d=1 t=1323933
ban dao 	辦到	c=1 d=0 t=1393466
ban de 	般的	c=1 d=1.7561e-08 t=1393466
ban de 	辦得	c=1 d=3.394e-53 t=1393466
ban de 	辦的	c=1 d=0 t=1393466
ban deng 	板凳	c=3 d=0 t=1393466
ban ding 	頒訂	c=4 d=6.79712e-47 t=1393466
ban duan 	半段	c=2 d=7.98872e-65 t=1393466
ban er 	伴兒	c=0 d=3.41508e-68 t=1393466
ban er bu neng 	伴兒不能	c=19 d=2.30043e-07 t=1393466
ban fa 	辦法	c=253 d=0.0699482 t=1393466
ban fa 	頒發	c=23 d=1.66034e-49 t=1393466
ban fan 	拌飯	c=3 d=0 t=1393466
ban fen zhong 	半分鐘	c=10 d=7.17533e-37 t=1393466
ban ge 	半個	c=44 d=1.64558e-07 t=1393466
ban ge 	辦個	c=41 d=0.000850233 t=1393466
ban ge shi 	辦個是	c=1 d=0 t=1393466
ban ge xiao shi 	半個小時	c=18 d=1.87017e-12 t=1393466
ban ge xiao shi zai 	半個小時在	c=1 d=2.78759e-149 t=1393466
ban ge yu 	半個於	c=1 d=1.89418e-162 t=1393466
ban ge yu qi 	辦個預期	c=1 d=2.50933e-294 t=1393466
ban ge yue 	半個月	c=97 d=0.00960953 t=1393466
ban ge yue da 	半個月大	c=1 d=0 t=1393466
ban ge yue nei 	半個月內	c=2 d=1.01353e-11 t=1393466
ban ge yue qian 	半個月前	c=12 d=5.88847e-27 t=1393466
ban ge yue zuo you 	半個月左右	c=1 d=0 t=1393466
ban gong 	辦公	c=22 d=1.11742e-12 t=1393466
ban gong kai 	半公開	c=1 d=0 t=1393466
ban gong lou 	辦公樓	c=2 d=1.35396e-65 t=1393466
ban gong qu 	辦公區	c=2 d=2.76933e-13 t=1393466
ban gong shi 	辦公室	c=218 d=0.687031 t=1393466
ban gong shi li 	辦公室裏	c=1 d=0.0020601 t=1393466
ban gong wo 	辦公我	c=1 d=0 t=1393466
ban gong zhuo 	辦公桌	c=4 d=4.24808e-76 t=1393466
ban gong zuo 	版工作	c=1 d=1 t=1358755
ban gui 	版規	c=1 d=2.29818e-113 t=1393466
ban guo 	辦過	c=2 d=2.45769e-79 t=1393466
ban guo lai 	搬過來	c=11 d=0 t=1393466
ban guo qu 	搬過去	c=6 d=3.27562e-194 t=1393466
ban hao 	版號	c=1 d=2.44052e-26 t=1393466
ban hao 	辦好	c=1 d=0 t=1393466
ban hui 	搬回	c=20 d=8.88374e-79 t=1393466
ban hui lai 	搬回來	c=1 d=0 t=1393466
ban hui qu 	搬回去	c=4 d=2.24196e-57 t=1393466
ban ji 	班級	c=2 d=4.13923e-06 t=1393466
ban jia 	半價	c=2 d=0 t=1393466
ban jia 	搬家	c=105 d=0.321422 t=1393466
ban jia le 	搬家了	c=1 d=0 t=1393466
ban jiao 	半角	c=1 d=4.05882e-128 t=1393466
ban jin 	板筋	c=1 d=1.15821e-22 t=1393466
ban jin ba liang 	半斤八兩	c=1 d=0 t=1393466
ban jing 	半徑	c=1 d=0 t=1393466
ban ju 	半句	c=0 d=0 t=1393466
ban ka 	板卡	c=3 d=2.02999e-65 t=1393466
ban ka 	辦卡	c=5 d=6.33764e-65 t=1393466
ban kong 	搬空	c=1 d=0 t=1393466
ban kuai 	板塊	c=1 d=2.07016e-119 t=1393466
ban kuai 	版塊	c=5 d=1.63166e-54 t=1393466
ban kuang 	半框	c=3 d=4.68433e-79 t=1393466
ban lai 	搬來	c=6 d=2.17681e-63 t=1393466
ban lai ban qu 	搬來搬去	c=1 d=1.57865e-136 t=1393466
ban lan gen 	板藍根	c=2 d=1.00037 t=1355087
ban le 	搬了	c=3 d=2.00986e-36 t=1393466
ban le 	辦了	c=5 d=2.03912e-59 t=1393466
ban le ge 	辦了個	c=2 d=2.09553e-174 t=1393466
ban li 	半粒	c=1 d=2.28129e-232 t=1393466
ban li 	板栗	c=1 d=1.19137e-60 t=1393466
ban li 	辦理	c=10 d=2.73533e-90 t=1393466
ban lv 	伴侶	c=1 d=0 t=1393466
ban ma xian 	斑馬線	c=1 d=3.79474e-160 t=1393466
ban men nong fu 	班門弄斧	c=1 d=0 t=1393466
ban mi 	半米	c=1 d=2.17836e-42 t=1393466
ban mian 	拌麪	c=1 d=3.74142e-170 t=1393466
ban miao 	半秒	c=1 d=0 t=1393466
ban nian 	半年	c=103 d=0.565525 t=1393466
ban nian duo 	半年多	c=3 d=2.0198e-94 t=1393466
ban nian duo le 	半年多了	c=1 d=3.50861e-267 t=1393466
ban nian le 	半年了	c=1 d=0 t=1393466
ban nian nei 	半年內	c=1 d=9.17018e-70 t=1393466
ban nian qian 	半年前	c=5 d=5.65164e-111 t=1393466
ban nian zhong 	半年中	c=1 d=1.85604e-158 t=1393466
ban ping 	半瓶	c=1 d=0 t=1393466
ban qian 	搬遷	c=6 d=2.09538e-85 t=1393466
ban qu 	搬去	c=3 d=1.57078e-137 t=1393466
ban quan 	版權	c=65 d=0.00105245 t=1393466
ban quan fa 	版權法	c=1 d=0.00102814 t=1393466
ban quan fang 	版權方	c=1 d=0.00108628 t=1393466
ban quan yi si 	版權意思	c=1 d=0 t=1393466
ban shang 	搬上	c=3 d=6.73135e-109 t=1393466
ban shang 	班上	c=1 d=6.799e-109 t=1393466
ban shang ding ding 	板上釘釘	c=1 d=0 t=1393466
ban shen 	半身	c=1 d=0.00144449 t=1393466
ban shi 	版式	c=1 d=0 t=1393466
ban shi 	辦事	c=8 d=6.99794e-66 t=1393466
ban shou 	扳手	c=6 d=5.77973e-167 t=1393466
ban shu 	半數	c=1 d=2.75787e-23 t=1393466
ban si 	半死	c=3 d=0.891366 t=1393466
ban si bu huo 	半死不活	c=5 d=5.09332e-114 t=1393466
ban sui 	伴隨	c=1 d=4.98719e-22 t=1393466
ban sui 	半歲	c=3 d=0 t=1393466
ban sui zhe 	伴隨着	c=5 d=0.000315927 t=1393466
ban tian 	半天	c=24 d=1.61773e-12 t=1393466
ban tu 	版圖	c=2 d=3.82134e-114 t=1393466
ban tu 	班圖	c=1 d=4.49118e-113 t=1393466
ban tu er fei 	半途而廢	c=1 d=0 t=1393466
ban wan 	搬完	c=2 d=0 t=1393466
ban xia lai 	辦下來	c=1 d=1.86713e-228 t=1393466
ban xiao shi 	半小時	c=12 d=1.30543e-18 t=1393466
ban xiao shi qian 	半小時前	c=1 d=0 t=1393466
ban xiu 	班袖	c=1 d=0 t=1393466
ban yan 	扮演	c=5 d=2.96953e-40 t=1393466
ban ye 	半夜	c=14 d=1.20695e-07 t=1393466
ban ye 	半頁	c=1 d=0 t=1393466
ban yue 	半月	c=0 d=0 t=1393466
ban yun 	搬運	c=5 d=2.56218e-157 t=1393466
ban zang 	半藏	c=1 d=0 t=1393466
ban zhang 	班長	c=2 d=1.01115e-05 t=1393466
ban zhen ban jia 	半真半假	c=1 d=0 t=1393466
ban zheng 	辦證	c=1 d=4.67701e-90 t=1393466
ban zhou 	半周	c=2 d=8.8542e-128 t=1393466
ban zhu 	版主	c=2 d=4.15981e-52 t=1393466
ban zhu ren 	班主任	c=13 d=0.0919197 t=1393466
ban zhuan 	搬磚	c=8 d=7.69722e-157 t=1393466
ban zi 	板子	c=6 d=1.06047e-73 t=1393466
ban zi 	班子	c=2 d=0 t=1393466
ban zi dong 	半自動	c=25 d=3.48122e-28 t=1393466
ban zi dong hua 	半自動化	c=1 d=1.21106e-47 t=1393466
ban zou 	搬走	c=12 d=4.24636e-130 t=1393466
ban zou le 	搬走了	c=1 d=0 t=1393466
bang 	幫	c=82 d=0.00711891 t=1393466
bang 	棒	c=5 d=1.24905e-28 t=1393466
bang 	磅	c=2 d=1.08333e-118 t=1393466
bang 	綁	c=174 d=9.70356e-28 t=1393466
bang 	邦	c=1 d=0 t=1393466
bang bang 	棒棒	c=1 d=1 t=1343010
bang bang mang 	幫幫忙	c=2 d=0 t=1393466
bang bin 	幫斌	c=1 d=0 t=1393466
bang bu 	幫補	c=0 d=0 t=1393466
bang bu le 	幫不了	c=1 d=0 t=1393466
bang bu shang 	幫不上	c=2 d=1.84576e-34 t=1393466
bang bu shang 	幫補上	c=3 d=0 t=1393466
bang dan 	榜單	c=9 d=9.76805e-19 t=1393466
bang dan shang 	榜單上	c=1 d=1.57473e-48 t=1393466
bang dang 	綁當	c=1 d=9.71933e-19 t=1393466
bang dao 	幫到	c=7 d=1.25634e-39 t=1393466
bang dao 	綁到	c=3 d=2.69106e-58 t=1393466
bang de 	綁得	c=2 d=0 t=1393466
bang din 	幫𨈖	c=3 d=1.02383e-218 t=1393466
bang ding 	綁定	c=785 d=0.00241755 t=1393466
bang ding de 	綁定的	c=2 d=7.45854e-110 t=1393466
bang ding de hua 	綁定的話	c=1 d=0 t=1393466
bang ding hao 	綁定好	c=1 d=1 t=1377081
bang ding li 	綁定裏	c=2 d=9.49266e-153 t=1393466
bang ding shi 	綁定時	c=1 d=0 t=1393466
bang ge 	幫個	c=2 d=2.01733e-109 t=1393466
bang guo 	綁過	c=3 d=1.87386e-94 t=1393466
bang guo 	邦國	c=1 d=5.65242e-142 t=1393466
bang hao 	綁好	c=5 d=1.45997e-78 t=1393466
bang hao le 	綁好了	c=1 d=2.12697e-114 t=1393466
bang jia 	綁架	c=4 d=1.19012e-77 t=1393466
bang kan 	幫看	c=1 d=0 t=1393466
bang le 	幫了	c=2 d=6.5089e-212 t=1393466
bang le 	綁了	c=6 d=2.39408e-94 t=1393466
bang mang 	幫忙	c=52 d=0.106088 t=1393466
bang ni 	幫你	c=177 d=0.00504176 t=1393466
bang ni gai 	幫你改	c=1 d=1.83458e-227 t=1393466
bang ni me 	幫你麼	c=2 d=8.77505e-140 t=1393466
bang pai 	幫派	c=1 d=0 t=1393466
bang qiu 	棒球	c=0 d=2.52285e-270 t=1393466
bang qiu gun 	棒球棍	c=2 d=5.35169e-269 t=1393466
bang ren 	幫人	c=1 d=1.08459e-161 t=1393466
bang shang 	幫上	c=5 d=8.95653e-28 t=1393466
bang shang 	綁上	c=1 d=1.03029e-145 t=1393466
bang shou 	榜首	c=2 d=6.10823e-44 t=1393466
bang si 	綁死	c=16 d=0.00204983 t=1393466
bang ta 	幫他	c=17 d=3.73046e-18 t=1393466
bang ta 	幫她	c=2 d=0 t=1393466
bang ta 	幫它	c=1 d=2.41239e-66 t=1393466
bang ta men 	幫他們	c=5 d=1.17436e-126 t=1393466
bang wan 	傍晚	c=15 d=7.70622e-126 t=1393466
bang wan 	綁完	c=2 d=7.69641e-97 t=1393466
bang wang 	幫往	c=1 d=0 t=1393466
bang wen 	榜文	c=1 d=0 t=1393466
bang wo 	幫我	c=108 d=0.00271219 t=1393466
bang wo men 	幫我們	c=1 d=0 t=1393466
bang xie 	幫寫	c=1 d=0 t=1393466
bang xiong 	幫兇	c=1 d=0 t=1393466
bang yu ming 	綁域名	c=1 d=3.70546e-174 t=1393466
bang zai 	綁在	c=5 d=5.30262e-67 t=1393466
bang zhe 	幫着	c=14 d=3.9244e-26 t=1393466
bang zhe gao 	幫着搞	c=1 d=2.27863e-42 t=1393466
bang zhe zuo 	幫着做	c=1 d=0 t=1393466
bang zhu 	幫助	c=154 d=0.000207579 t=1393466
bang zhu da jia 	幫助大家	c=1 d=0 t=1393466
bang zhu dao 	幫助到	c=1 d=0 t=1393466
bang zhu ni 	幫助你	c=9 d=1.16603e-13 t=1393466
bang zhu wo 	幫助我	c=1 d=0 t=1393466
bang zi 	棒子	c=1 d=4.05921e-41 t=1393466
bao 	保	c=4 d=7.09599e-112 t=1393466
bao 	包	c=412 d=2.59252 t=1393466
bao 	堡	c=3 d=0 t=1393466
bao 	報	c=117 d=0.00168667 t=1393466
bao 	寶	c=18 d=4.00367e-26 t=1393466
bao 	抱	c=40 d=2.10315e-11 t=1393466
bao 	暴	c=2 d=0 t=1393466
bao 	爆	c=22 d=5.01032e-47 t=1393466
bao 	胞	c=1 d=7.48015e-144 t=1393466
bao 	飽	c=3 d=0.273898 t=1393466
bao an 	保安	c=5 d=7.58276e-81 t=1393466
bao an 	報案	c=2 d=1.16624e-162 t=1393466
bao an shi 	保安室	c=6 d=0 t=1393466
bao ban hun yin 	包辦婚姻	c=1 d=0 t=1393466
bao bao 	包包	c=0 d=0.1 t=1350554
bao bao 	寶寶	c=7 d=6.63925e-94 t=1393466
bao bao 	抱抱	c=29 d=0.108609 t=1393466
bao bei 	報備	c=2 d=3.20213e-133 t=1393466
bao bei 	寶貝	c=2 d=3.21818e-133 t=1393466
bao ben 	保本	c=1 d=8.37725e-153 t=1393466
bao biao 	報表	c=30 d=0.594521 t=1393466
bao biao 	暴表	c=1 d=0.0017555 t=1393466
bao bing 	刨冰	c=2 d=2.70818e-233 t=1393466
bao bing ji 	刨冰機	c=2 d=1.49331e-188 t=1393466
bao bu bao kuo 	包不包括	c=1 d=8.97521e-170 t=1393466
bao che 	包車	c=1 d=4.77845e-19 t=1393466
bao cheng 	抱成	c=1 d=2.28064e-23 t=1393466
bao chi 	保持	c=196 d=0.0428543 t=1393466
bao chi bu bian 	保持不變	c=1 d=0 t=1393466
bao chi zhe 	保持着	c=4 d=6.57249e-34 t=1393466
bao chi zu 	保持組	c=1 d=1 t=1316547
bao chou 	報酬	c=9 d=0.141564 t=1393466
bao chu 	報出	c=24 d=0.543351 t=1393466
bao chu 	爆出	c=1 d=1 t=1353148
bao chu lai 	報出來	c=10 d=2.31913e-14 t=1393466
bao chun 	報純	c=1 d=2.27708e-34 t=1393466
bao cu 	包粗	c=1 d=4.75967e-149 t=1393466
bao cun 	保存	c=259 d=0.329559 t=1393466
bao cun qian 	保存前	c=1 d=1.35124e-12 t=1393466
bao cun xuan xiang 	保存選項	c=1 d=0 t=1393466
bao cuo 	報錯	c=298 d=0.373887 t=1393466
bao cuo le 	報錯了	c=1 d=1.74587e-144 t=1393466
bao dao 	報道	c=11 d=5.8188e-101 t=1393466
bao di 	保底	c=7 d=7.19967e-111 t=1393466
bao die 	暴跌	c=20 d=1.29149e-215 t=1393466
bao ding 	保定	c=1 d=0 t=1393466
bao dong 	暴動	c=2 d=0 t=1393466
bao e 	保額	c=3 d=2.41996e-111 t=1393466
bao fa 	爆發	c=2 d=8.40751e-166 t=1393466
bao fei 	保費	c=8 d=7.41708e-162 t=1393466
bao fei 	報廢	c=2 d=2.25137e-165 t=1393466
bao fei di 	保費低	c=1 d=3.77902e-170 t=1393466
bao fu 	包袱	c=11 d=1.38276e-48 t=1393466
bao fu 	報復	c=14 d=1.37587e-48 t=1393466
bao fu xing 	報復性	c=1 d=3.06677e-213 t=1393466
bao gao 	報告	c=79 d=1.42347e-07 t=1393466
bao guan 	保管	c=8 d=1.97207e-49 t=1393466
bao guan hao 	保管好	c=3 d=1.98196e-48 t=1393466
bao guan li 	包管理	c=14 d=5.46426e-69 t=1393466
bao guan li qi 	包管理器	c=23 d=0.00195963 t=1393466
bao guang 	爆光	c=1 d=4.5643e-09 t=1393466
bao gui 	寶貴	c=2 d=0 t=1393466
bao guo 	包裹	c=27 d=2.31794e-08 t=1393466
bao han 	包含	c=317 d=0.495662 t=1393466
bao han le 	包含了	c=3 d=2.511e-08 t=1393466
bao han wen zi 	包含文字	c=1 d=0 t=1393466
bao han zai 	包含在	c=3 d=1.16563e-09 t=1393466
bao han zhe 	包含着	c=1 d=0 t=1393466
bao he 	飽和	c=2 d=8.56651e-63 t=1393466
bao hu 	保護	c=60 d=0.000284437 t=1393466
bao hu fa 	保護法	c=1 d=3.98836e-216 t=1393466
bao hu fei 	保護費	c=2 d=0 t=1393466
bao hu ke 	保護殼	c=3 d=3.9208e-74 t=1393466
bao hu niao 	保護鳥	c=1 d=3.73458e-266 t=1393466
bao hu tao 	保護套	c=2 d=9.85791e-156 t=1393466
bao hu xing 	保護性	c=3 d=1.34601e-84 t=1393466
bao hu yue 	保護月	c=1 d=1.4183e-23 t=1393466
bao hua 	刨花	c=2 d=8.23535e-11 t=1393466
bao ji 	寶雞	c=1 d=2.69444e-14 t=1393466
bao jia 	保價	c=13 d=1.24101e-99 t=1393466
bao jia 	報價	c=17 d=9.21469e-25 t=1393466
bao jian 	保健	c=1 d=2.09731e-184 t=1393466
bao jian pin 	保健品	c=8 d=2.76886e-11 t=1393466
bao jie 	保潔	c=14 d=1.32738e-214 t=1393466
bao jin lai 	包進來	c=1 d=5.12809e-85 t=1393466
bao jing 	報警	c=306 d=0.053397 t=1393466
bao jing de hua 	報警的話	c=1 d=0 t=1393466
bao jing qi 	報警器	c=3 d=2.33905e-48 t=1393466
bao jun 	寶俊	c=1 d=4.84984e-17 t=1393466
bao kan 	報刊	c=3 d=9.99401e-229 t=1393466
bao ke meng 	寶可夢	c=1 d=1 t=1374848
bao kuo 	包括	c=866 d=0.403198 t=1393466
bao kuo wo jia 	包括我家	c=1 d=6.08145e-91 t=1393466
bao le 	報了	c=4 d=6.8103e-11 t=1393466
bao le 	抱了	c=2 d=2.22336e-106 t=1393466
bao le 	爆了	c=1 d=9.20771e-118 t=1393466
bao le 	飽了	c=2 d=2.21512e-33 t=1393466
bao lei 	堡壘	c=1 d=0 t=1393466
bao li 	保利	c=5 d=0 t=1393466
bao li 	暴力	c=6 d=1.46604e-18 t=1393466
bao ling qiu 	保齡球	c=1 d=8.29019e-89 t=1393466
bao liu 	保留	c=216 d=0.699522 t=1393466
bao liu di 	保留地	c=0 d=5.11659e-89 t=1393466
bao liu guan jian zi 	保留關鍵字	c=1 d=2.11256e-181 t=1393466
bao liu shi jian 	保留時間	c=1 d=3.5085e-296 t=1393466
bao liu zhe 	保留着	c=3 d=4.16481e-49 t=1393466
bao lou 	暴露	c=1 d=4.33583e-140 t=1393466
bao lu 	暴露	c=91 d=0.286143 t=1393466
bao ma 	寶馬	c=1 d=2.27177e-271 t=1393466
bao mi 	保密	c=10 d=2.70795e-14 t=1393466
bao mi hua 	爆米花	c=2 d=0 t=1393466
bao mi xing 	保密性	c=3 d=2.05242e-13 t=1393466
bao ming 	包名	c=26 d=4.3333e-45 t=1393466
bao ming 	報名	c=44 d=2.89828e-19 t=1393466
bao ming biao 	報名表	c=2 d=0 t=1393466
bao ming fei 	報名費	c=1 d=2.41002e-172 t=1393466
bao ming ren shu 	報名人數	c=1 d=0 t=1393466
bao ne 	抱呢	c=2 d=7.81722e-45 t=1393466
bao ni 	抱你	c=1 d=0 t=1393466
bao nuan 	保暖	c=3 d=0 t=1393466
bao po 	爆破	c=1 d=0 t=1393466
bao qi lai 	包起來	c=1 d=2.10733e-240 t=1393466
bao qi lai 	抱起來	c=1 d=2.19848e-150 t=1393466
bao qian 	抱歉	c=277 d=0.0249624 t=1393466
bao qiang 	包強	c=1 d=4.06128e-47 t=1393466
bao qing 	報請	c=1 d=0 t=1393466
bao quan 	保全	c=1 d=0 t=1393466
bao que 	包卻	c=2 d=1.71445e-195 t=1393466
bao rong 	包容	c=7 d=9.24786e-81 t=1393466
bao rong du 	包容度	c=1 d=2.40357e-258 t=1393466
bao rong du 	包溶度	c=1 d=2.39158e-258 t=1393466
bao shan 	寶山	c=3 d=3.72671e-212 t=1393466
bao shi 	寶石	c=2 d=8.86052e-108 t=1393466
bao shi jie 	保時捷	c=16 d=5.72377e-25 t=1393466
bao shi mi zhen 	寶石迷陣	c=1 d=8.90493e-107 t=1393466
bao shou 	保守	c=35 d=8.77209e-05 t=1393466
bao shui 	報稅	c=5 d=9.537e-149 t=1393466
bao shui qu 	保稅區	c=2 d=1.19575e-15 t=1393466
bao tuan 	抱團	c=8 d=9.9569e-09 t=1393466
bao wei 	包圍	c=1 d=0 t=1393466
bao wen 	保溫	c=2 d=1.11099e-229 t=1393466
bao wen xiang 	保溫箱	c=2 d=1.66899e-173 t=1393466
bao xi bu bao you 	報喜不報憂	c=1 d=1.39586e-100 t=1393466
bao xian 	保險	c=101 d=1.75628 t=1393466
bao xian 	保鮮	c=2 d=5.51263e-24 t=1393466
bao xian dai 	保險帶	c=1 d=5.48514e-24 t=1393466
bao xian gong si 	保險公司	c=7 d=1.85385e-86 t=1393466
bao xian mo 	保鮮膜	c=3 d=0 t=1393466
bao xiang 	包廂	c=1 d=1.12533e-183 t=1393466
bao xiao 	報銷	c=50 d=0.136014 t=1393466
bao xiao dan 	報銷單	c=1 d=1.97825e-26 t=1393466
bao xiao kan 	報銷看	c=1 d=1.39504e-05 t=1393466
bao xiu 	保修	c=11 d=1.59473e-20 t=1393466
